address,available_from,balcony,closest_shop,contruction_year,dishwasher,dryer,elevator,floors,highway,kindergarten,parking_ext,parking_int,price,prim_school,public_transp,rooms,secon_school,sq_meters,tv,type,wash_m
Savigny 1073 Savigny,09.07.2024,True,84,2024,,,True,3. étage,,,True,,1'090'000,,70,4.5,,118,,Attique,
1009 Pully,À convenir,True,1100,2013,,,,3. étage,5000,220,,True,990'000,220,100,2.5,220,71,,Appartement,
1092 Belmont-sur-Lausanne,À convenir,True,,1954,,,,Non disponible,,,,,1'195'000,,,4.5,,86,,Villa,
Le Mont-sur-Lausanne 1052 Le Mont-sur-Lausanne,Immédiate,True,483,1976,,,,Non disponible,1851,1222,True,True,1'950'000,1222,38,7,637,385,,Maison,
1023 Crissier,À convenir,,,Non disponible,,,,Non disponible,,,,,3'400'000,,,10,,Non disponible,,Maison,
1036 Sullens,Immédiate,,,1850,,,,Non disponible,,,True,,2'885'000,,,12,,590,,Maison,
1009 Pully,À convenir,True,,Non disponible,,,True,Non disponible,,,,True,sur demande,,,4,,351,,Attique,
1009 Pully,Immédiate,,,Non disponible,,,,Non disponible,,,,,150'000,,,Non disponible,,Non disponible,,Local commercial,
1095 Lutry,À convenir,True,962,2024,,,,EG,579,,,,2'450'000,,129,4.5,,148,,Appartement,
La Conversion 1093 La Conversion,À convenir,True,601,2015,,,,EG,339,1023,True,True,1'390'000,473,152,3.5,484,97,,Appartement avec terrasse,
Dans les hauteurs de Bourg-en-Lavaux 1091 Grandvaux,À convenir,,182,Non disponible,,,,Non disponible,,,,True,1'700'000,,265,5,,150,,Maison,
1033 Cheseaux-sur-Lausanne,01.09.2022,True,,Non disponible,,,,1. étage,,,True,True,1'100'000,,,4.5,,92,,Appartement,
1003 Lausanne,À convenir,,,Non disponible,,,,Non disponible,,,,,140'000,,,Non disponible,,Non disponible,,Local commercial,
1012 Lausanne,À convenir,,,1968,True,,,Non disponible,,,,,sur demande,,,10,,Non disponible,,Autre,True
1012 Lausanne,À convenir,True,203,1968,,,,Non disponible,,,,True,sur demande,466,,10,,450,,Maison mitoyenne,
1026 Echandens,À convenir,,,2014,,,,Non disponible,,,True,True,2'090'000,,,5.5,,180,,Maison mitoyenne,
1093 La Conversion,À convenir,,,Non disponible,,,True,Non disponible,,,,,sur demande,,,5.5,,170,,Attique,
Chemin du Corgeon 12 1095 Lutry,À convenir,,,Non disponible,,,,Non disponible,,,,,3'800'000,,,7.5,,244,,Maison,
Rue Pré-du-Marché 50 1004 Lausanne,À convenir,,,Non disponible,,,,Non disponible,,,,,990'000,,,1,,85,,Loft,
1018 Lausanne,À convenir,,,1987,,,,1. étage,,,,True,640'000,,,2.5,,52,,Appartement,
1066 Epalinges,14.09.2022,,,1984,,,,Non disponible,,,True,True,1'850'000,,,5.5,,160,,Maison jumelée,
1024 Ecublens VD,Immédiate,,,Non disponible,,,,Non disponible,,,,,1'850'000,,,8,,215,,Maison,
1006 Lausanne,À convenir,,,Non disponible,,,,Non disponible,,,,,1'410,,,Non disponible,,Non disponible,,Local commercial,
1008 Jouxtens,À convenir,,,1983,,,,Non disponible,,,True,True,2'300'000,,,6,,Non disponible,,Villa,
1000 Lausanne,À convenir,,,1920,,,,Non disponible,,,True,True,2'590'000,,,10,,263,,Villa,
Grand Rue 1053 Cugy VD,À convenir,,,1850,,,,Non disponible,,,,,3'300'000,,,8,,400,,Villa,
1025 St,À convenir,True,,1996,,,,2. étage,,,True,True,1'920'000,,,6.5,,192,,Appartement,
1012 Lausanne,À convenir,,,1968,,,,5. étage,,,,True,sur demande,,,3.5,,67,,Appartement,
1024 Ecublens,À convenir,,,1989,,,,EG,,,,,490'000,,,1.5,,37,,Appartement,
1055 Froideville,À convenir,True,,2006,,,,Non disponible,,,True,True,990'000,,,5.5,,183,,Appartement,
1052 Le Mont-sur-Lausanne,À convenir,,1042,2004,,,,EG,,,,True,2'060'000,121,,6.5,,187,,Appartement,
1052 Le Mont-sur-Lausanne,À convenir,,1042,2004,,,,1. étage,,,,True,1'890'000,121,,4.5,,214,,Appartement,
1066 Epalinges,À convenir,,,Non disponible,,,,Non disponible,,,True,,sur demande,,,1,,Non disponible,,Local commercial,
1092 Belmont-sur-Lausanne,08.07.2022,,,2014,,,,Non disponible,,,True,True,2'750'000,,,5.5,,200,,Villa,
1055 Froideville,À convenir,True,,2010,,,True,2. étage,,,,True,850'000,,,4.5,,109,,Appartement,
1012 Lausanne,À convenir,,,Non disponible,,,True,Non disponible,,,,,1'620'000,,,4.5,,141,,Appartement,
Sullens 1036 Sullens,À convenir,,93,1680,,,,Non disponible,,,True,True,2'350'000,,,8,,300,,Maison,
1008 Prilly,À convenir,True,,2022,True,,True,Non disponible,,,True,,995'000,,,3.5,,Non disponible,,Appartement,
Centre du village 1036 Sullens,À convenir,,,1680,,,,Non disponible,,,,,2'350'000,,,8,,300,,Villa,
1012 Lausanne,Immédiate,True,357,2011,,,True,EG,,,,,2'020'000,130,,5.5,,127,,Appartement,
La Corniche 1097 Riex,À convenir,True,,2000,,,,Non disponible,,,True,True,sur demande,,,13,,432,,Maison en terrasse,
1003 Lausanne,À convenir,,,1730,True,True,,Non disponible,,,True,,2'885'000,,,10,,Non disponible,,Ferme,True
1036 Sullens,À convenir,,,1730,True,True,,Non disponible,,,True,,2'885'000,,,10,,Non disponible,,Ferme,True
1008 Prilly,À convenir,True,216,2022,,,True,Non disponible,3500,,True,,995'000,450,,3.5,172,Non disponible,,Appartement,
1036 Sullens,À convenir,,,1680,,,,Non disponible,,,True,True,2'350'000,,,8,,275,,Villa,
1008 Jouxtens-Mézery,À convenir,,,Non disponible,,,,Non disponible,,,,,2'136'000,,,5.5,,Non disponible,,Maison,
1000 Lausanne,À convenir,,,Non disponible,,,,Non disponible,,,,,3'500'000,,,9.5,,280,,Villa,
All. du Tilleul 3 1022 Chavannes,À convenir,True,,2008,,,True,1. étage,,,True,,sur demande,,,4.5,,118,,Appartement,
1095 Lutry,À convenir,,,1993,,,True,Non disponible,,,,True,1'290'000,,,4.5,,127,,Appartement,
1092 Belmont-sur-Lausanne,À convenir,,,Non disponible,,,,Non disponible,,,True,True,1'195'000,,,6,,180,,Villa,
1095 Lutry,À convenir,,,1993,,,True,Non disponible,,,,True,1'290'000,,,4.5,,118,,Appartement,
1012 Lausanne,À convenir,,,2011,,,,EG,,,,True,2'020'000,,,5.5,,127,,Appartement,
1009 Pully,À convenir,True,87,2015,,,,2. étage,,,,,4'500'000,169,,4.5,,177,,Appartement,
Jouxtens-Mézery 1008 Jouxtens-Mézery,01.07.2022,True,1288,1993,,,,Non disponible,2094,365,True,True,2'160'000,453,905,6.5,1093,243,,Maison mitoyenne,
Jouxtens-Mézery 1008 Jouxtens-Mézery,Immédiate,True,1288,1993,,,,EG,2094,365,True,,750'000,453,905,1,1093,112,,Studio,
1012 Lausanne,À convenir,,,Non disponible,,,,Non disponible,,,,,1'290'000,,,4.5,,129,,Appartement,
1073 Savigny,À convenir,,,Non disponible,,,,Non disponible,,,,,2'690'000,,,5,,Non disponible,,Maison,
1005 Lausanne,À convenir,True,50,1953,,,True,EG,,,,,985'000,100,,3.5,,71,,Appartement,
1005 Lausanne,À convenir,True,,1953,,,True,EG,,,True,,985'000,,,3.5,,Non disponible,,Appartement,
1095 Lutry,À convenir,True,,Non disponible,,,,Non disponible,,,,True,850'000,,,4.5,,85,,Appartement,
1000 Lausanne,Immédiate,,,Non disponible,,,,Non disponible,,,,,460'000,,,Non disponible,,Non disponible,,Local commercial,
1009 Pully,À convenir,,,2015,,,,2. étage,,,,True,4'500'000,,,5.5,,177,,Appartement,
1025 Saint-Sulpice,À convenir,True,,2004,,,,2. étage,,,,,3'220'000,,,7.5,,324,,Appartement,
1097 Riex,Immédiate,,,Non disponible,,,,Non disponible,,,True,True,sur demande,,,Non disponible,,Non disponible,,Maison,
1009 Pully,À convenir,,,Non disponible,,,,Non disponible,,,,,2'500'000,,,5,,Non disponible,,Appartement,
1095 Lutry,À convenir,True,,Non disponible,,,True,1. étage,,,,,790'000,,,2,,70,,Appartement,
en bordure de zone agricole avec avec vue sur les Alpes 1027 Lonay,À convenir,,,2022,,,True,Non disponible,,,,,4'950'000,,,7.5,,280,,Maison,
1003 Lausanne,30.10.2022,,,Non disponible,,,,Non disponible,,,,,2'200'000,,,Non disponible,,180,,Maison,
1009 Pully,Immédiate,,,1974,,,,Non disponible,,,,,12'500'000,,,Non disponible,,Non disponible,,Autre,
1097 Riex,À convenir,,1000,Non disponible,,,,Non disponible,1000,,True,,sur demande,1000,200,Non disponible,,432,,Maison,
1022 Chavannes-près-Renens,À convenir,,,Non disponible,,,,Non disponible,,,,,1'130,,,2,,Non disponible,,Local commercial,
Lausanne 1000 Lausanne,À convenir,,,2012,,,,Non disponible,,,True,,sur demande,,,11,,600,,Villa,
1052 Le Mont,À convenir,True,,2014,,,True,Non disponible,,,,,1'560'000,,,5,,134,,Appartement,
1008 Prilly,À convenir,True,,Non disponible,,,True,EG,,,,True,850'000,,,3.5,,96,,Appartement,
1008 Prilly,À convenir,True,,Non disponible,,,True,EG,,,,True,850'000,,,3.5,,78,,Appartement,
1066 Epalinges,À convenir,,,1963,,,,Non disponible,,,True,True,3'600'000,,,8,,250,,Villa,
1052 Le Mont-sur-Lausanne,À convenir,,,Non disponible,,,,Non disponible,,,,True,1'560'000,,,5.5,,134,,Appartement,
1020 Renens VD,Immédiate,,,Non disponible,,,,25. étage,,,,,545'000,,,3,,60,,Appartement,
Chemin de Sous-Bois 8 1008 Jouxtens-Mézery,À convenir,True,,2006,,,,1. étage,,,True,,2'950'000,,,5.5,,170,,Villa,
1007 Lausanne,À convenir,True,,1890,,,,Non disponible,,,True,,5'700'000,,,7,,300,,Maison,
Lausanne 1000 Lausanne,À convenir,,,2012,,,,Non disponible,,,True,,4'600'000,,,4.5,,200,,Appartement,
Lausanne 1000 Lausanne,À convenir,,,2012,,,,Non disponible,,,True,,5'800'000,,,7,,400,,Appartement,
1003 Lausanne,À convenir,True,,1935,,,,1. étage,,,True,,850'000,,,2.5,,65,,Appartement,
1010 Lausanne,À convenir,,,1982,,,,Non disponible,,,True,True,2'950'000,,,7.5,,198,,Villa,
1052 Le Mont-sur-Lausanne,23.06.2022,,,Non disponible,,,,Non disponible,,,,,800'000,,,2.5,,60,,Appartement,
1031 Mex VD,01.10.2022,,,1960,,,,1. étage,,,True,,850'000,,,3.5,,85,,Appartement,
1000 Lausanne,À convenir,,,Non disponible,,,,Non disponible,,,,,1'850'240,,,5,,150,,Maison,
Place Chauderon 1003 Lausanne,À convenir,,30,1935,,,True,1. étage,,,True,,850'000,,10,2.5,,62,,Appartement,
1030 Bussigny,À convenir,True,,2008,,,True,3. étage,,,,,895'000,,,3.5,,103,True,Duplex,
1020 Renens VD,À convenir,,,Non disponible,,,,Non disponible,,,,,330'000,,,Non disponible,,Non disponible,,Local commercial,
1066 Epalinges,À convenir,True,1000,1980,,,True,2. étage,,,True,True,1'350'000,1000,,5.5,1000,150,,Appartement,
1030 Bussigny-près-Lausanne,À convenir,True,,2008,True,True,True,3. étage,,,,,895'000,,,3.5,,Non disponible,True,Duplex,True
1000 Lausanne 25,À convenir,,,Non disponible,,,,1. étage,,,True,,695'000,,,4.5,,133,,Appartement,
