address,available_from,balcony,closest_shop,contruction_year,dishwasher,dryer,elevator,floors,highway,kindergarten,parking_ext,parking_int,price,prim_school,public_transp,rooms,secon_school,sq_meters,tv,type,wash_m
6921 Vico Morcote,nach Vereinbarung,,,nicht verfügbar,,,,nicht verfügbar,,,,,6'700'000,,,9,,450,,Villa,
6921 Vico Morcote,À convenir,,,Non disponible,,,,EG,,,True,,3'900'000,,,4.5,,200,,Villa,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6833 Vacallo,Data da convenire,,,non disponibile,,,,1. piano,,,,,1'405,,,3.5,,103,,Appartamento,
6921 Vico Morcote,nach Vereinbarung,,,1850,,,,nicht verfügbar,,,,,1'800'000,,,7.5,,164,,Haus,
Via Pizzora 41 6921 Vico Morcote,À convenir,,,1984,,,,Non disponible,,,,,450'000,,,5,,152,,Maison,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}Vicolo Serenella 6833 Vacallo,Data da convenire,,,non disponibile,,,,1. piano,,,,,550,,,1.5,,30,,Appartamento,
Riva Lago Olivella 6921 Vico Morcote,À convenir,,,Non disponible,,,,Non disponible,,,,,5'000'000,,,5.5,,300,,Villa,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}Via Borromini 11 6943 Vezia,nach Vereinbarung,,,nicht verfügbar,,,,2. Stock,,,,,2'640,,,5.5,,188,True,Attika,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}Via Streccia 1 6943 Vezia,sofort,,,1986,,,,1. Stock,,,,,1'460,,,4.5,,76,,Wohnung,
6921 Vico Morcote,À convenir,True,,2000,,,,Non disponible,,,True,True,sur demande,,,4.5,,184,,Maison,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}Via del sole 2 6943 Vezia,01.07.2022,,,2000,,,,EG,,,,,3'200,,,4.5,,125,True,Maisonette,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6833 Vacallo,À convenir,,,Non disponible,,,,Non disponible,,,,,4'300,,,6.5,,330,,Maison,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}VEZIA,01.07.2022,,,2000,,,,nicht verfügbar,,,,,3'200,,,4.5,,125,True,Wohnung,
6921 Vico Morcote,nach Vereinbarung,,,1970,,,,EG,,,,,800'000,,,2.5,,65,,Wohnung,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6833 Vacallo,À convenir,,,Non disponible,,,,3. étage,,,,,850,,,2.5,,55,,Appartement,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6833 Vacallo,À convenir,,,Non disponible,,,,3. étage,,,,,1'040,,,3.5,,70,,Appartement,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}Via Roggiana 6 6833 Vacallo,Immediata,True,,non disponibile,,,,3. piano,,,,,1'740,,,4.5,,120,,Appartamento,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}via Roggiana 6 Vacallo 6833 Vacallo,Immediata,,,non disponibile,,,,2. piano,,,,,1'250,,,3.5,,90,,Appartamento,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}Via Poeta Francesco Chiesa 11 6833 Vacallo,Immediata,True,,non disponibile,,,,2. piano,,,,,1'200,,,3.5,,78,,Appartamento,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6833 Vacallo,By arrangement,,,not available,,,,not available,,,,,820,,,1.5,,45,,Apartment,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6833 Vacallo,Data da convenire,,,non disponibile,,,,3. piano,,,,,2'000,,,4.5,,110,,Appartamento,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6833 Vacallo,nach Vereinbarung,,,nicht verfügbar,,,,nicht verfügbar,,,,,820,,,1.5,,45,,Wohnung,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6833 Vacallo,Data da convenire,,,2016,,,,4. piano,,,,,890,,,1.5,,45,,Appartamento,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6833 Vacallo,nach Vereinbarung,,,nicht verfügbar,,,,4. Stock,,,,,880,,,1.5,,40,,Wohnung,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}Via Fornasette 6833 Vacallo,Immediata,True,,non disponibile,,,,1. piano,,,,,2'175,,,4.5,,121,,Appartamento,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6833 Vacallo,By arrangement,True,,not available,,,,4. floor,,,,,880,,,1.5,,40,,Apartment,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6833 Vacallo,nach Vereinbarung,True,,nicht verfügbar,,,,4. Stock,,,,,920,,,1.5,,nicht verfügbar,,Studio,
